,LAMA-T,LAMA-QUAN,LAMA-QUAL,LAMA-QUANT-V,LAMA-LM,PFP-QUAN,PFP-QUAL,PFP-QUANT-V,PFP-LM,PFP-T,LMG-QUAN,LMG-QUAL,LMG-QUANT-V,LMG-LM,LMG-T
bw,0.21,8,8,8,4,1,4,1,3,0.3981594807,4,5,4,1,0.26532
bw,0.2,5,5,5,4,2,5,2,4,0.2824472289,3,5,3,3,0.18567
bw,0.15,7,6,7,6,6,9,6,7,0.4920048503,6,6,9,6,0.32902
bw,0.2,7,5,7,4,5,6,5,5,0.1179582609,6,7,6,2,0.06068
bw,0.17,7,5,7,4,3,4,3,4,0.4423073907,3,4,3,4,0.29535
bw,0.17,4,4,4,3,3,4,3,3,0.5538872559,4,4,4,2,0.37080
bw,0.21,5,5,5,2,2,3,2,2,0.5556730435,5,6,5,1,0.37201
bw,0.19,7,7,7,5,5,6,5,5,0.1258339678,8,7,8,2,0.06807
bw,0.19,8,8,8,4,5,6,5,4,0.3673043478,5,6,5,4,0.24424
bw,0.18,2,2,2,1,1,2,1,1,0.2306956076,1,2,1,1,0.14914
bw,0.17,6,6,6,5,4,4,4,3,0.4072085598,5,6,5,2,0.27149
bw,0.19,7,7,7,3,3,3,3,3,0.1888664841,3,3,3,3,0.11866
bw,0.16,6,6,7,5,5,5,4,5,0.5031867787,5,5,4,2,0.33658
bw,0.18,4,4,4,2,2,2,2,2,0.1206391304,4,4,4,1,0.06325
bw,0.32,8,8,8,4,3,4,3,4,0.4330926534,8,8,8,2,0.28909
bw,0.2,4,4,4,3,1,4,1,4,0.5221396047,3,5,3,2,0.34938
bw,0.15,10,8,10,8,6,9,8,7,0.5440965217,10,8,10,6,0.36420
bw,0.18,5,5,5,3,3,3,3,3,0.1232124268,3,3,3,3,0.06566
bw,0.15,6,8,6,4,4,4,4,4,0.3596521739,6,8,6,3,0.23900
bw,0.19,1,3,1,3,1,3,1,3,0.2258894491,1,3,1,3,0.14569
bw,0.18,7,7,7,5,3,5,3,5,0.4507913043,3,5,3,5,0.30110
bw,0.18,8,8,8,3,5,5,5,5,0.1577095217,8,8,8,3,0.09482
bw,0.32,2,2,2,2,1,2,1,2,0.3135006865,2,3,2,1,0.20724
