,LAMA-T,LAMA-QUAN,LAMA-QUAL,LAMA-QUANT-V,LAMA-LM,PFP-QUAN,PFP-QUAL,PFP-QUANT-V,PFP-LM,PFP-T,LMG-QUAN,LMG-QUAL,LMG-QUANT-V,LMG-LM,LMG-T
bui-campus,0.42,1,1,1,2,1,1,1,3,0.437,2,1,2,2,0.6039
bui-campus,0.30,2,1,2,1,2,1,2,3,0.31,2,1,2,1,0.5255
bui-campus,0.51,2,3,3,2,1,1,1,2,0.54,2,1,2,1,0.5741
bui-campus,0.12,3,1,3,1,1,1,1,1,0.321,4,1,4,1,0.4821
bui-campus,0.42,2,1,2,2,2,1,2,2,0.445,2,1,2,2,0.7971
bui-campus,0.54,2,4,2,2,2,1,2,4,0.56732,3,2,4,2,0.7080
bui-campus,0.53,1,1,1,2,1,1,1,2,0.673,1,1,1,2,0.6151
bui-campus,0.12,2,3,3,2,1,1,1,2,0.1266,3,2,3,2,0.7444
bui-campus,0.35,3,1,3,1,1,1,1,1,0.4323,3,1,3,1,0.9802
bui-campus,0.22,2,1,2,2,2,1,2,2,0.2321,2,1,2,2,0.6527
bui-campus,0.44,2,3,2,2,2,1,2,4,0.6543,4,1,4,1,0.4567
bui-campus,0.15,1,1,1,2,1,1,1,2,0.54321,1,1,1,2,0.6965
bui-campus,0.31,1,1,1,2,1,1,1,2,0.32212,2,1,2,1,0.6020
bui-campus,0.56,1,1,1,2,1,1,1,2,0.54343,2,1,2,1,0.5851
bui-campus,0.23,1,1,1,2,1,1,1,4,0.40021,3,2,4,2,0.6279
bui-campus,0.42,2,1,2,1,2,1,2,1,0.43821,2,1,2,1,0.6050
