,LAMA-T,LAMA-QUAN,LAMA-QUAL,LAMA-QUANT-V,LAMA-LM,PFP-QUAN,PFP-QUAL,PFP-QUANT-V,PFP-LM,PFP-T,LMG-QUAN,LMG-QUAL,LMG-QUANT-V,LMG-LM,LMG-T
grid-obs,0.18,8,8,8,19,1,1,1,19,1.2348697598,3,3,3,19,0.09457
grid-obs,0.21,2,2,2,6,1,1,1,6,0.1941002644,2,2,2,6,0.09251
grid-obs,0.21,9,9,9,12,3,3,3,12,0.7505564129,7,7,7,12,0.10281
grid-obs,0.25,6,6,6,9,3,3,3,9,0.0144002402,6,6,6,9,0.241
grid-obs,0.23,4,4,4,8,2,2,2,8,0.1555861141,2,2,2,8,0.22511
grid-obs,0.21,3,3,3,10,1,1,1,10,0.4699025583,6,6,6,10,0.24962
grid-obs,0.22,3,3,3,9,2,2,2,9,0.2553409851,3,3,3,9,0.22709
grid-obs,0.21,4,4,4,12,4,4,4,12,0.5704080831,4,4,4,12,0.24153
grid-obs,0.24,1,1,1,5,1,1,1,5,0.6020193593,1,1,1,5,0.02819
grid-obs,0.23,8,8,8,10,2,2,2,10,0.0201668717,8,8,8,10,0.03803
grid-obs,0.25,1,1,1,4,1,1,1,4,0.1262903191,1,1,1,4,0.20764
grid-obs,0.17,4,4,4,9,1,1,1,9,0.5690041185,3,3,3,9,0.1955
grid-obs,0.24,5,5,5,13,5,5,5,13,0.6309872378,5,5,5,13,0.19744
grid-obs,0.24,1,1,1,10,1,1,1,10,0.6122294903,1,1,1,10,0.21286
grid-obs,0.16,4,4,4,12,4,4,4,12,0.5437155561,4,4,4,12,0.18159
grid-obs,0.21,6,6,6,8,4,4,4,8,0.1905963722,6,6,6,8,0.12051
grid-obs,0.22,4,4,4,10,4,4,4,10,0.4873064459,4,4,4,10,0.10806
grid-obs,0.15,2,2,2,9,1,1,1,9,0.6107618914,3,3,3,11,0.30954
grid-obs,0.16,4,4,4,19,1,1,1,19,0.4349022276,5,5,5,19,0.25347
grid-obs,0.22,3,3,3,9,2,2,2,9,0.4649330164,3,3,3,9,0.23575
grid-obs,0.23,1,1,1,15,1,1,1,15,0.6357512012,1,1,1,15,0.24053
grid-obs,0.21,16,16,16,16,14,14,14,16,0.2835744909,16,16,16,16,0.227
grid-obs,0.17,1,1,1,13,1,1,1,13,0.0842854621,1,1,1,13,0.20333
grid-obs,0.25,6,6,6,15,1,1,1,15,0.4513663264,4,4,4,15,0.07065
