,LAMA-T,LAMA-QUAN,LAMA-QUAL,LAMA-QUANT-V,LAMA-LM,PFP-QUAN,PFP-QUAL,PFP-QUANT-V,PFP-LM,PFP-T,LMG-QUAN,LMG-QUAL,LMG-QUANT-V,LMG-LM,LMG-T
intrusion-detection,0.24,4,4,4,2,3,3,3,5,0.528254,3,3,3,2,0.158088
intrusion-detection,0.27,4,4,4,2,3,3,3,6,0.53515,4,4,4,2,0.17844
intrusion-detection,0.21,4,4,4,2,3,3,3,5,0.684535,3,3,3,2,0.190281
intrusion-detection,0.23,4,4,4,2,3,3,3,6,0.529364,4,4,4,2,0.164514
intrusion-detection,0.18,10,10,10,6,6,6,6,7,1.08937,10,10,10,6,0.15176
intrusion-detection,0.28,4,4,4,3,3,3,3,6,0.552627,4,4,4,3,0.166189
intrusion-detection,0.2,6,6,6,8,4,4,4,5,0.685216,6,6,6,6,0.145713
intrusion-detection,0.25,4,4,4,10,4,4,4,10,0.673408,4,4,4,10,0.311152
intrusion-detection,0.24,4,4,4,2,3,3,3,6,0.534458,4,4,4,2,0.151289
intrusion-detection,0.29,4,4,4,8,3,3,3,5,0.528091,4,4,4,2,0.167642
intrusion-detection,0.24,4,4,4,6,4,4,4,11,0.713031,4,4,4,6,0.174373
intrusion-detection,0.22,4,4,4,2,3,3,3,4,0.530041,4,4,4,2,0.145394
intrusion-detection,0.24,4,4,4,8,3,3,3,5,0.521554,3,3,3,8,0.1876
intrusion-detection,0.28,4,4,4,2,3,3,3,10,0.55745,4,4,4,8,0.176617
intrusion-detection,0.25,3,3,3,14,2,2,2,14,0.352116,5,5,5,5,0.061254
intrusion-detection,0.23,4,4,4,4,3,3,3,4,0.522112,4,4,4,5,0.169714
intrusion-detection,0.25,4,4,4,2,3,3,3,5,0.537946,4,4,4,3,0.258984
intrusion-detection,0.21,4,4,4,6,4,4,4,7,0.68642,4,4,4,5,0.16259
intrusion-detection,0.22,4,4,4,2,3,3,3,6,0.501764,3,3,3,2,0.153884
intrusion-detection,0.32,4,4,4,5,4,4,4,9,0.779605,4,4,4,3,0.144423
intrusion-detection,0.25,6,4,6,1,3,2,3,8,0.090057,4,3,4,1,0.046235
intrusion-detection,0.25,6,4,6,1,3,2,3,7,0.09479,6,4,6,1,0.053434
intrusion-detection,0.25,3,1,3,7,2,1,2,10,0.083484,3,2,3,6,0.011767
