,LAMA-T,LAMA-QUAN,LAMA-QUAL,LAMA-QUANT-V,LAMA-LM,PFP-QUAN,PFP-QUAL,PFP-QUANT-V,PFP-LM,PFP-T,LMG-QUAN,LMG-QUAL,LMG-QUANT-V,LMG-LM,LMG-T
logistics,0.53,13,19,13,13,3,2,3,17,0.4037910596,9,9,9,10,0.20108
logistics,0.61,5,22,5,22,2,2,2,19,0.3384323841,5,9,5,19,0.19656
logistics,0.6,4,22,4,16,2,2,2,18,0.4413198675,6,7,6,13,0.19344
logistics,0.61,4,15,4,15,2,24,2,12,0.0234323841,5,11,5,13,0.20890
logistics,0.2,14,20,14,19,2,1,2,2,0.1508231126,2,1,2,2,0.17958
logistics,0.69,3,21,3,2,2,1,2,2,0.1557880132,2,1,2,2,0.17848
logistics,0.67,19,19,19,19,2,1,2,2,0.1485687417,2,1,2,2,0.11745
logistics,0.62,5,5,5,13,3,3,3,10,0.3854369205,4,5,4,11,0.12951
logistics,0.67,6,7,6,13,4,2,4,2,0.3230490939,4,2,4,2,0.12942
logistics,0.2,4,4,4,14,3,2,3,3,0.4212598736,4,4,4,2,0.12740
logistics,0.69,8,15,8,11,3,26,3,2,0.0223672757,10,12,10,3,0.25679
logistics,0.57,5,13,5,3,2,2,2,13,0.1576787086,5,13,5,3,0.24695
logistics,0.61,5,11,5,7,2,3,2,3,0.1628692866,2,3,2,3,0.24298
logistics,0.6,10,6,10,8,2,2,2,6,0.1553218663,2,2,2,6,0.23849
logistics,0.2,7,3,7,10,4,1,4,10,0.2422800512,5,6,5,9,0.20722
logistics,0.69,6,14,6,6,3,4,3,3,0.2532307526,3,4,3,3,0.18885
logistics,0.55,9,16,9,4,3,2,3,13,0.1545623811,5,6,5,2,0.15683
logistics,0.64,4,11,4,8,2,3,2,18,0.0603703642,6,6,6,6,0.05060
logistics,0.57,4,12,4,17,2,2,2,10,0.1045641331,2,2,2,10,0.16358
logistics,0.61,5,12,5,16,3,4,3,11,0.1037032932,3,4,3,11,0.16225
