,LAMA-T,LAMA-QUAN,LAMA-QUAL,LAMA-QUANT-V,LAMA-LM,PFP-QUAN,PFP-QUAL,PFP-QUANT-V,PFP-LM,PFP-T,LMG-QUAN,LMG-QUAL,LMG-QUANT-V,LMG-LM,LMG-T
Rover,0.23,1,1,1,1,1,1,1,2,0.34148,1,1,1,1,0.2684475506
Rover,0.17,2,10,2,2,1,1,1,3,0.24391,2,10,2,2,0.1676948476
Rover,0.22,3,1,3,3,2,2,2,2,0.32522,3,5,3,1,0.2518298111
Rover,0.19,2,6,2,1,1,1,1,1,0.27643,2,6,2,1,0.2016277347
Rover,0.19,2,1,2,2,2,2,2,1,0.27643,2,1,2,2,0.2016277347
Rover,0.23,2,10,2,1,1,2,1,2,0.34148,3,7,4,1,0.2684475506
Rover,0.21,1,6,1,1,1,1,1,2,0.30896,1,8,1,1,0.2351621821
Rover,0.21,2,5,2,2,1,1,1,3,0.31203,3,5,3,2,0.2783128066
Rover,0.20,4,1,4,1,3,2,3,2,0.29270,5,4,5,1,0.2184332433
Rover,0.25,2,10,2,2,1,3,1,5,0.36957,2,10,2,2,0.2970578993
Rover,0.25,2,5,2,1,2,2,2,1,0.37448,2,5,2,1,0.3020551342
Rover,0.18,2,7,2,2,1,2,1,2,0.26017,2,8,2,2,0.1847247595
Rover,0.24,3,6,3,1,2,2,2,2,0.35774,3,6,3,1,0.2850241268
Rover,0.21,2,5,2,1,1,1,1,3,0.30896,2,5,2,1,0.2351621821
Rover,0.23,3,8,3,2,2,2,2,6,0.46213,4,8,4,1,0.3908125067
Rover,0.20,2,7,2,1,1,2,1,2,0.29270,2,7,2,1,0.2184332433
Rover,0.35,1,6,1,2,2,1,2,6,0.52035,3,8,3,1,0.4495232514
Rover,0.31,2,5,2,1,1,2,1,2,0.45826,3,5,3,1,0.3869031625
