,LAMA-T,LAMA-QUAN,LAMA-QUAL,LAMA-QUANT-V,LAMA-LM,PFP-QUAN,PFP-QUAL,PFP-QUANT-V,PFP-LM,PFP-T,LMG-QUAN,LMG-QUAL,LMG-QUANT-V,LMG-LM,LMG-T
ttr,0.32,12,12,12,10,1,1,1,10,0.6498072727,12,12,12,10,0.32727
ttr,0.26,5,5,5,8,2,2,2,8,0.2516709091,5,5,5,8,0.21356
ttr,0.15,11,11,11,9,9,9,9,9,0.2922790909,11,11,11,9,0.14417
ttr,0.09,7,7,7,7,5,6,5,7,0.1765318182,7,7,7,7,0.2687
ttr,0.10,7,7,7,7,3,3,3,7,0.1984872727,7,7,7,7,0.24712
ttr,0.23,4,4,4,4,3,3,3,4,0.4583709091,4,4,4,4,0.2956
ttr,0.21,5,5,5,5,2,4,2,5,0.4183,5,5,5,5,0.20102
ttr,0.34,11,11,11,12,8,8,8,8,0.68399,11,11,10,12,0.13487
ttr,0.31,8,8,8,12,5,5,5,12,0.6193672727,8,9,8,12,0.16622
ttr,0.13,2,2,2,2,1,1,1,2,0.2557336364,2,2,2,2,0.14528
ttr,0.19,6,6,6,6,4,4,4,6,0.37898,6,6,6,6,0.13275
ttr,0.20,7,7,7,12,3,3,3,8,0.39085,7,7,7,12,0.25381
ttr,0.31,6,6,6,6,5,5,5,6,0.61221,6,6,6,6,0.24115
ttr,0.28,4,4,4,4,2,2,2,4,0.5574663636,4,4,4,4,0.15202
ttr,0.10,8,8,8,11,3,3,3,11,0.2073927273,8,8,8,11,0.27766
ttr,1.17,4,4,4,4,1,4,1,4,0.58343421,4,4,4,4,0.18382
ttr,0.43,10,10,10,10,8,8,8,8,0.9871,10,10,10,10,0.16594
ttr,0.53,5,5,5,5,3,3,3,5,1.0883181818,5,5,5,5,0.25924
ttr,0.84,6,10,6,9,4,4,4,9,1.6934909091,5,10,5,9,0.12666
ttr,1.54,1,1,1,1,1,1,1,1,2.4708181818,1,1,1,1,0.32727
ttr,0.38,7,7,7,7,3,5,3,7,0.7549363636,7,7,7,7,0.16769
